[06/29 15:47:29]    DEBUG | Initial log file: logs/89ae42b3-589b-4f62-ad5a-fe6ef768a580.log (log.py:100)
[06/29 15:47:29]     INFO | It's strongly recommend to use a config.yml file. Follow these links for more details: https://docs.gramaddict.org/#/configuration and https://github.com/GramAddict/bot/tree/master/config-examples (bot_flow.py:63)
[06/29 15:47:32]    DEBUG | Installed via pip. (utils.py:140)
[06/29 15:47:32]     INFO | Do you want to update/create your config-examples folder in local? Do the following: 
				pip3 install --user gitdir (only the first time)
				python3 -m gitdir https://github.com/GramAddict/bot/tree/master/config-examples (python on Windows) (utils.py:141)
[06/29 15:47:35]     INFO | Checking for updates... (utils.py:63)
[06/29 15:47:36]     INFO | Bot is updated. (utils.py:77)
[06/29 15:47:36]     INFO | GramAddict v.3.2.4 (utils.py:80)
[06/29 15:47:36]     INFO | Loading plugins . . . (plugin_loader.py:30)
[06/29 15:47:36]     INFO |   - ActionUnfollowFollowers: Handles the functionality of unfollowing your followers (plugin_loader.py:45)
[06/29 15:47:36]     INFO |   - ClonedApp: Adds support for cloned apps (plugin_loader.py:45)
[06/29 15:47:36]     INFO |   - CoreArguments: Simply adds core arguments (plugin_loader.py:45)
[06/29 15:47:36]     INFO |   - DataAnalytics: Generates a PDF analytics report of current username session data (plugin_loader.py:45)
[06/29 15:47:36]     INFO |   - InteractBloggerPostLikers: Handles the functionality of interacting with a blogger (plugin_loader.py:45)
[06/29 15:47:36]     INFO |   - InteractBloggerFollowers_Following: Handles the functionality of interacting with a bloggers followers/following (plugin_loader.py:45)
[06/29 15:47:36]     INFO |   - InteractBloggerPostLikers: Handles the functionality of interacting with a blogger post likers (plugin_loader.py:45)
[06/29 15:47:36]     INFO |   - InteractOwnFeed: Handles the functionality of interacting with your own feed (plugin_loader.py:45)
[06/29 15:47:36]     INFO |   - InteractHashtagLikers: Handles the functionality of interacting with a hashtags likers (plugin_loader.py:45)
[06/29 15:47:36]     INFO |   - InteractHashtagPosts: Handles the functionality of interacting with a hashtags post owners (plugin_loader.py:45)
[06/29 15:47:36]     INFO |   - InteractPlaceLikers: Handles the functionality of interacting with a places likers (plugin_loader.py:45)
[06/29 15:47:36]     INFO |   - InteractPlacePosts: Handles the functionality of interacting with a places post owners (plugin_loader.py:45)
[06/29 15:47:36]     INFO |   - LikeFromURLs: Likes a post from url. The urls are read from a plaintext file (plugin_loader.py:45)
[06/29 15:47:36]     INFO |   - RemoveFollowersFromList: Remove account followers from a list of usernames (plugin_loader.py:45)
[06/29 15:47:36]  WARNING | If you want to use telegram_reports, please type in console: 'pip3 install gramaddict[telegram-reports]' (telegram.py:18)
[06/29 15:47:36]     INFO |   - TelegramReports: Generate reports at the end of the session and send them using telegram (plugin_loader.py:45)
[06/29 15:47:36]    DEBUG | Arguments used: -h (config.py:158)
